Event Name,Event_url,Venue Address,Venue City,Venue State,Venue Country,Latitude,Longitude,Time Zone,Date,Time
Tampa Bay Lightning V Chicago Blackhawks,http://www.ticketmaster.com/tampa-bay-lightning-v-chicago-blackhawks-tampa-florida-11-22-2017/event/0D0052F8E8A5B915,401 Channelside Dr,Tampa,Florida,United States Of America,27.942743,-82.451772,America/New_York,2017-11-22,19:30:00
Indiana Pacers vs. Toronto Raptors,http://www.ticketmaster.com/indiana-pacers-vs-toronto-raptors-indianapolis-indiana-11-24-2017/event/0500530E0481743D,125 S. Pennsylvania St.,Indianapolis,Indiana,United States Of America,39.764064,-86.155507,America/Indianapolis,2017-11-24,20:00:00
Seattle Seahawks vs. Arizona Cardinals,http://www.ticketmaster.com/seattle-seahawks-vs-arizona-cardinals-seattle-washington-12-31-2017/event/0F005284DA027739,800 Occidental Ave S,Seattle,Washington,United States Of America,47.596704,-122.332085,America/Los_Angeles,2017-12-31,13:25:00
Golden State Warriors vs. Chicago Bulls,http://www.ticketmaster.com/golden-state-warriors-vs-chicago-bulls-oakland-california-11-24-2017/event/1C005309C18B8912,7000 Coliseum Way,Oakland,California,United States Of America,37.74691455,-122.2008533,America/Los_Angeles,2017-11-24,19:30:00
Chicago Bears v San Francisco 49ers,http://www.ticketmaster.com/chicago-bears-v-san-francisco-49ers-chicago-illinois-12-03-2017/event/0400528B49FAE1ED,1410 S. Museum Campus Drive,Chicago,Illinois,United States Of America,41.86205404,-87.61682143,America/Chicago,2017-12-03,12:00:00
Los Angeles Rams vs. New Orleans Saints,http://www.ticketmaster.com/los-angeles-rams-vs-new-orleans-los-angeles-california-11-26-2017/event/0A00528CC3A44E37,3911 S. Figueroa St,Los Angeles,California,United States Of America,34.014053,-118.287865,America/Los_Angeles,2017-11-26,13:25:00
New Jersey Devils vs. Boston Bruins,http://www.ticketmaster.com/new-jersey-devils-vs-boston-bruins-newark-new-jersey-11-22-2017/event/020052DAA46E2DB6,25 Lafayette Street,Newark,New Jersey,United States Of America,40.73340555,-74.17121214,America/New_York,2017-11-22,19:00:00
Florida Panthers vs Toronto Maple Leafs,http://www.ticketmaster.com/florida-panthers-vs-toronto-maple-leafs-sunrise-florida-11-22-2017/event/0D005307A791927A,1 Panther Parkway,Sunrise,Florida,United States Of America,26.155362,-80.33023,America/New_York,2017-11-22,19:00:00
Washington Capitals vs. Calgary Flames,http://www.ticketmaster.com/washington-capitals-vs-calgary-flames-washington-district-of-columbia-11-20-2017/event/150052D69C152541,601 F Street NW,Washington,District Of Columbia,United States Of America,38.897412,-77.020029,America/New_York,2017-11-20,19:00:00
Boston Celtics vs. Orlando Magic,http://www.ticketmaster.com/boston-celtics-vs-orlando-magic-boston-massachusetts-11-24-2017/event/0100530EE6C85EA8,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2017-11-24,19:30:00
Miami Heat vs. Boston Celtics,http://www.ticketmaster.com/miami-heat-vs-boston-celtics-miami-florida-11-22-2017/event/0D00530EE24DC2C4,601 Biscayne Blvd,Miami,Florida,United States Of America,25.781232,-80.187805,America/New_York,2017-11-22,19:30:00
Monster Jam,http://www.ticketmaster.com/monster-jam-minneapolis-minnesota-12-02-2017/event/0600530FC06B5B65,401 Chicago Avenue,Minneapolis,Minnesota,United States Of America,44.973208,-93.255966,America/Chicago,2017-12-02,19:00:00
Sacramento Kings vs. Los Angeles Lakers,http://www.ticketmaster.com/sacramento-kings-vs-los-angeles-lakers-sacramento-california-11-22-2017/event/1C00530B6FC4345F,500 David J Stern Walk,Sacramento,California,United States Of America,38.580372,-121.500231,America/Los_Angeles,2017-11-22,19:30:00
Chicago Bulls V. Miami Heat,http://www.ticketmaster.com/chicago-bulls-v-miami-heat-chicago-illinois-11-26-2017/event/0400530FD9FB45F3,1901 W Madison,Chicago,Illinois,United States Of America,41.88124412,-87.67427375,America/Chicago,2017-11-26,14:30:00
Jacksonville Jaguars vs. Seattle Seahawks,http://www.ticketmaster.com/jacksonville-jaguars-vs-seattle-seahawks-jacksonville-florida-12-10-2017/event/22005291C4BFA9FF,One EverBank Field Drive,Jacksonville,Florida,United States Of America,30.3280429,-81.6417541,America/New_York,2017-12-10,13:00:00
Charlotte Hornets vs. Boston Celtics,http://www.ticketmaster.com/charlotte-hornets-vs-boston-celtics-charlotte-north-carolina-12-27-2017/event/0E0053189F374FC7,333 East Trade Street,Charlotte,North Carolina,United States Of America,35.225222,-80.839921,America/New_York,2017-12-27,19:00:00
Nashville Predators vs. Winnipeg Jets,http://www.ticketmaster.com/nashville-predators-vs-winnipeg-jets-nashville-tennessee-11-20-2017/event/1B00530FE48BA2DB,501 Broadway,Nashville,Tennessee,United States Of America,36.159949,-86.77857,America/Chicago,2017-11-20,19:00:00
Detroit Red Wings vs. New Jersey Devils,http://www.ticketmaster.com/detroit-red-wings-vs-new-jersey-detroit-michigan-11-25-2017/event/08005310FCEF4E22,2645 Woodward,Detroit,Michigan,United States Of America,42.341089,-83.055434,America/New_York,2017-11-25,19:00:00
Los Angeles Rams vs. Philadelphia Eagles,http://www.ticketmaster.com/los-angeles-rams-vs-philadelphia-eagles-los-angeles-california-12-10-2017/event/0A00528CC3AB4E39,3911 S. Figueroa St,Los Angeles,California,United States Of America,34.014053,-118.287865,America/Los_Angeles,2017-12-10,13:25:00
Big Ten Football Championship Game,http://www.ticketmaster.com/big-ten-football-championship-game-indianapolis-indiana-12-02-2017/event/050052CD8C9117EA,500 S. Capitol Ave.,Indianapolis,Indiana,United States Of America,39.759709,-86.164644,America/New_York,2017-12-02,20:17:00
